stim,count,mean,std,min,25%,50%,75%,max,stnd_err
materials/images/blueB1.png,35,0.085714286,0.284028641,0,0,0,0,1,0.048009603
materials/images/blueB2.png,35,0.057142857,0.235504108,0,0,0,0,1,0.03980746
materials/images/blueB3.png,35,0.057142857,0.235504108,0,0,0,0,1,0.03980746
materials/images/blueB4.png,35,0.6,0.497050122,0,0,1,1,1,0.084016805
materials/images/blueB5.png,35,0.171428571,0.38238526,0,0,0,0,1,0.064634906
materials/images/blueB6.png,35,0.057142857,0.235504108,0,0,0,0,1,0.03980746
materials/images/redA1.png,35,1,0,1,1,1,1,1,0
materials/images/redA2.png,35,0.971428571,0.169030851,0,1,1,1,1,0.028571429
materials/images/redA3.png,35,1,0,1,1,1,1,1,0
materials/images/redA4.png,35,0.914285714,0.284028641,0,1,1,1,1,0.048009603
materials/images/redA5.png,35,0.885714286,0.322802851,0,1,1,1,1,0.054563641
materials/images/redA6.png,35,0.714285714,0.458349249,0,0,1,1,1,0.077475164
materials/images/yGen1.png,35,0.742857143,0.443439574,0,0.5,1,1,1,0.074954968
materials/images/yGen2.png,35,0.8,0.405839725,0,1,1,1,1,0.068599434
materials/images/yGen3.png,35,0.2,0.405839725,0,0,0,0,1,0.068599434
materials/images/yGen4.png,35,0.114285714,0.322802851,0,0,0,0,1,0.054563641
materials/images/yGen5.png,35,0.114285714,0.322802851,0,0,0,0,1,0.054563641
